name,batting_team,opposing_team,opposing_sp_name,sp_xbaa_source,batter_xba,sp_xbaa,bullpen_xbaa,vs_sp_log5,vs_bullpen_log5,games_played,at_bats,ab_per_game,sp_abs,bp_abs,hit_probability
Andy Pages,Los Angeles Dodgers,Tampa Bay Rays,Drew Rasmussen,sp,0.274,0.227,0.22602133712660027,0.2515,0.2505,72,279,3.875,2.0,1.875,0.6737
Freddie Freeman,Los Angeles Dodgers,Tampa Bay Rays,Drew Rasmussen,sp,0.281,0.227,0.22602133712660027,0.2582,0.2571,70,265,3.786,2.0,1.786,0.6764
Kyle Tucker,Los Angeles Dodgers,Tampa Bay Rays,Drew Rasmussen,sp,0.247,0.227,0.22602133712660027,0.2261,0.2251,69,255,3.696,2.0,1.696,0.6114
Max Muncy,Los Angeles Dodgers,Tampa Bay Rays,Drew Rasmussen,sp,0.271,0.227,0.22602133712660027,0.2487,0.2477,67,219,3.269,2.0,1.269,0.6067
Shohei Ohtani,Los Angeles Dodgers,Tampa Bay Rays,Drew Rasmussen,sp,0.295,0.227,0.22602133712660027,0.2715,0.2704,70,252,3.6,2.0,1.6,0.6795
Ben Williamson,Tampa Bay Rays,Los Angeles Dodgers,Justin Wrobleski,sp,0.252,0.263,0.2222065906210393,0.2672,0.2259,52,153,2.942,2.0,0.942,0.5781
Cedric Mullins,Tampa Bay Rays,Los Angeles Dodgers,Justin Wrobleski,sp,0.185,0.263,0.2222065906210393,0.1972,0.1643,62,207,3.339,2.0,1.339,0.4932
Chandler Simpson,Tampa Bay Rays,Los Angeles Dodgers,Justin Wrobleski,sp,0.241,0.263,0.2222065906210393,0.2557,0.2157,67,248,3.701,2.0,1.701,0.6336
Jonathan Aranda,Tampa Bay Rays,Los Angeles Dodgers,Justin Wrobleski,sp,0.267,0.263,0.2222065906210393,0.2827,0.2399,68,246,3.618,2.0,1.618,0.6699
Junior Caminero,Tampa Bay Rays,Los Angeles Dodgers,Justin Wrobleski,sp,0.27,0.263,0.2222065906210393,0.2858,0.2427,69,262,3.797,2.0,1.797,0.6905
Nick Fortes,Tampa Bay Rays,Los Angeles Dodgers,Justin Wrobleski,sp,0.248,0.263,0.2222065906210393,0.263,0.2222,55,162,2.945,2.0,0.945,0.5716
Taylor Walls,Tampa Bay Rays,Los Angeles Dodgers,Justin Wrobleski,sp,0.17,0.263,0.2222065906210393,0.1814,0.1507,53,154,2.906,2.0,0.906,0.4221
Yandy Díaz,Tampa Bay Rays,Los Angeles Dodgers,Justin Wrobleski,sp,0.286,0.263,0.2222065906210393,0.3024,0.2576,66,255,3.864,2.0,1.864,0.7207
